name;type;description

heads.headMain;boolean;Является ли главным руководителем

successions;list of [array];Сведения о правопреемстве

facialAccounts;list of [array];Сведения о лицевых счетах, открытых в территориальных органах Федерального казначейства

facialAccounts.kindName;string;Наименование типа лицевого счета

facialAccounts.kindCode;string;Код типа лицевого счета

facialAccounts.num;string;Номер лицевого счета

facialAccounts.createDate;datetime;Дата открытия

facialAccounts.closeDate;string;Дата закрытия

facialAccounts.status;string;Статус

facialAccounts.openUfkCode;string;Код управления федерального казначейства

facialAccounts.openUfkName;string;наименование управления Федерального казначейства

facialAccounts.srvUfkCode;string;Код ОрФК обслуживания.

facialAccounts.srvUfkName;string;Полное наименование ТОФК обслуживания. Указывается наименование ОрФК по месту обслуживания лицевого счета организации в соответствии со справочником ТОФК

facialAccounts.openTofkName;string;Полное наименование ТОФК открытия.

facialAccounts.refopenUfkCode;string;Код ТОФК открытия по справочнику 7710568760-TOFK

facialAccounts.refsrvUfkCode;string;Код ОрФК обслуживания по справочнику 7710568760-TOFK

facialAccounts.accountorgcode;string;Код по Сводному реестру ПБС принимающего полномочия

facialAccounts.accountorgfullname;string;Наименование по Сводному реестру ПБС принимающего полномочия

facialAccounts.ppocode;string;Код территории публично-правового образования по справочнику ОКТМО.

facialAccounts.pponame;string;Наименование территории публично-правового образования по справочнику ОКТМО.

foAccounts;list of [array];Сведения о лицевых счетах, открытых в финансовых органах

participantPermissions;list of [array];Полномочия УБП

participantPermissions.name;string;Наименование полномочия

participantPermissions.code;string;Код полномочия

participantPermissions.startDate;datetime;ата начала действия полномочия

participantPermissions.endDate;string;Дата окончания действия полномочия

nonParticipantPermissions;list of [array];Полномочия НУБП

procurementPermissions;list of [array];Полномочия организации в сфере госзакупок

contacts;list of [array];Контакты организации

contacts.phone;string;Телефон

contacts.site;string;Веб-сайт

contacts.mail;string;Электронная почта

acceptAuths;list of [array];Полномочия организации принятые

transfauth;list of [array];Сведения о передаче полномочий финансового органа поселения финансовому органу муниципального района

id;string;Уникальный суррогатный ключ

attachment;list of [array];Файлы приложений

contracts;list of [array];Основание для включения организации в Сводный реестр

ubptransfauthbp;list of [array];Переданные полномочия исполнительно-распорядительного органа

ubpfinfku;list of [array];Сведения об организации, осуществляющей финансовое обеспечение ФКУ

ubpgetfin;list of [array];Сведения о праве организации получать источник дополнительного бюджетного финансирования

